song_stem,file_or_dir,type,ok,size_bytes,mtime
lyrics_121,sample01.wav,file,OK,4379514,2025-09-22 10:46:41
lyrics_121,chord/chord_txt,dir,OK,1 files,
lyrics_121,chord/chord_btc_txt,dir,OK,1 files,
lyrics_122,sample01.mid,file,OK,1751,2025-09-22 10:47:29
lyrics_122,sample01.json,file,OK,34,2025-09-22 10:47:29
lyrics_122,sample01.txt,file,OK,328,2025-09-22 10:47:28
lyrics_122,sample01_times.txt,file,OK,569,2025-09-22 10:47:30
lyrics_122,sample01_struct_time.json,file,OK,39,2025-09-22 10:47:31
lyrics_122,sample01_struct_label.json,file,OK,47,2025-09-22 10:47:31
lyrics_122,sample01.wav,file,OK,6092630,2025-09-22 10:47:46
lyrics_122,chord/chord_txt,dir,OK,1 files,
lyrics_122,chord/chord_btc_txt,dir,OK,1 files,
lyrics_123,sample01.mid,file,OK,1761,2025-09-22 10:48:40
lyrics_123,sample01.json,file,OK,34,2025-09-22 10:48:40
lyrics_123,sample01.txt,file,OK,327,2025-09-22 10:48:39
lyrics_123,sample01_times.txt,file,OK,568,2025-09-22 10:48:40
lyrics_123,sample01_struct_time.json,file,OK,39,2025-09-22 10:48:41
lyrics_123,sample01_struct_label.json,file,OK,47,2025-09-22 10:48:41
lyrics_123,sample01.wav,file,OK,4786590,2025-09-22 10:48:56
lyrics_123,chord/chord_txt,dir,OK,1 files,
lyrics_123,chord/chord_btc_txt,dir,OK,1 files,
lyrics_124,sample01.mid,file,OK,1735,2025-09-22 10:49:49
lyrics_124,sample01.json,file,OK,34,2025-09-22 10:49:49
lyrics_124,sample01.txt,file,OK,323,2025-09-22 10:49:48
lyrics_124,sample01_times.txt,file,OK,564,2025-09-22 10:49:49
lyrics_124,sample01_struct_time.json,file,OK,39,2025-09-22 10:49:50
lyrics_124,sample01_struct_label.json,file,OK,47,2025-09-22 10:49:50
lyrics_124,sample01.wav,file,OK,6143514,2025-09-22 10:50:05
lyrics_124,chord/chord_txt,dir,OK,1 files,
lyrics_124,chord/chord_btc_txt,dir,OK,1 files,
lyrics_125,sample01.mid,file,OK,1722,2025-09-22 10:50:53
lyrics_125,sample01.json,file,OK,34,2025-09-22 10:50:53
lyrics_125,sample01.txt,file,OK,318,2025-09-22 10:50:52
lyrics_125,sample01_times.txt,file,OK,559,2025-09-22 10:50:54
lyrics_125,sample01_struct_time.json,file,OK,37,2025-09-22 10:50:55
lyrics_125,sample01_struct_label.json,file,OK,47,2025-09-22 10:50:55
lyrics_125,sample01.wav,file,OK,5431130,2025-09-22 10:51:11
lyrics_125,chord/chord_txt,dir,OK,1 files,
lyrics_125,chord/chord_btc_txt,dir,OK,1 files,
lyrics_126,sample01.mid,file,OK,1750,2025-09-22 10:52:09
lyrics_126,sample01.json,file,OK,34,2025-09-22 10:52:09
lyrics_126,sample01.txt,file,OK,324,2025-09-22 10:52:07
lyrics_126,sample01_times.txt,file,OK,565,2025-09-22 10:52:09
lyrics_126,sample01_struct_time.json,file,OK,39,2025-09-22 10:52:10
lyrics_126,sample01_struct_label.json,file,OK,47,2025-09-22 10:52:10
lyrics_126,sample01.wav,file,OK,5363284,2025-09-22 10:52:25
lyrics_126,chord/chord_txt,dir,OK,1 files,
lyrics_126,chord/chord_btc_txt,dir,OK,1 files,
lyrics_127,sample01.mid,file,OK,1655,2025-09-22 10:53:13
lyrics_127,sample01.json,file,OK,34,2025-09-22 10:53:13
lyrics_127,sample01.txt,file,OK,311,2025-09-22 10:53:12
lyrics_127,sample01_times.txt,file,OK,552,2025-09-22 10:53:14
lyrics_127,sample01_struct_time.json,file,OK,39,2025-09-22 10:53:14
lyrics_127,sample01_struct_label.json,file,OK,47,2025-09-22 10:53:14
lyrics_127,sample01.wav,file,OK,4523686,2025-09-22 10:53:29
lyrics_127,chord/chord_txt,dir,OK,1 files,
lyrics_127,chord/chord_btc_txt,dir,OK,1 files,
lyrics_128,sample01.mid,file,OK,1733,2025-09-22 10:54:21
lyrics_128,sample01.json,file,OK,34,2025-09-22 10:54:21
lyrics_128,sample01.txt,file,OK,322,2025-09-22 10:54:20
lyrics_128,sample01_times.txt,file,OK,563,2025-09-22 10:54:21
lyrics_128,sample01_struct_time.json,file,OK,39,2025-09-22 10:54:22
lyrics_128,sample01_struct_label.json,file,OK,47,2025-09-22 10:54:22
lyrics_128,sample01.wav,file,OK,4396476,2025-09-22 10:54:37
lyrics_128,chord/chord_txt,dir,OK,1 files,
lyrics_128,chord/chord_btc_txt,dir,OK,1 files,
lyrics_129,sample01.mid,file,OK,1775,2025-09-22 10:55:31
lyrics_129,sample01.json,file,OK,34,2025-09-22 10:55:31
lyrics_129,sample01.txt,file,OK,327,2025-09-22 10:55:30
lyrics_129,sample01_times.txt,file,OK,568,2025-09-22 10:55:32
lyrics_129,sample01_struct_time.json,file,OK,37,2025-09-22 10:55:32
lyrics_129,sample01_struct_label.json,file,OK,47,2025-09-22 10:55:32
lyrics_129,sample01.wav,file,OK,5600744,2025-09-22 10:55:47
lyrics_129,chord/chord_txt,dir,OK,1 files,
lyrics_129,chord/chord_btc_txt,dir,OK,1 files,
lyrics_13,sample01.mid,file,OK,1868,2025-09-22 10:56:43
lyrics_13,sample01.json,file,OK,34,2025-09-22 10:56:43
lyrics_13,sample01.txt,file,OK,340,2025-09-22 10:56:42
lyrics_13,sample01_times.txt,file,OK,581,2025-09-22 10:56:43
lyrics_13,sample01_struct_time.json,file,OK,39,2025-09-22 10:56:44
lyrics_13,sample01_struct_label.json,file,OK,47,2025-09-22 10:56:44
lyrics_13,sample01.wav,file,OK,6132264,2025-09-22 10:56:59
lyrics_13,chord/chord_txt,dir,OK,1 files,
lyrics_13,chord/chord_btc_txt,dir,OK,1 files,
lyrics_130,sample01.mid,file,OK,1751,2025-09-22 10:57:48
lyrics_130,sample01.json,file,OK,34,2025-09-22 10:57:48
lyrics_130,sample01.txt,file,OK,327,2025-09-22 10:57:48
lyrics_130,sample01_times.txt,file,OK,568,2025-09-22 10:57:49
lyrics_130,sample01_struct_time.json,file,OK,39,2025-09-22 10:57:50
lyrics_130,sample01_struct_label.json,file,OK,47,2025-09-22 10:57:50
lyrics_130,sample01.wav,file,OK,5261514,2025-09-22 10:58:05
lyrics_130,chord/chord_txt,dir,OK,1 files,
lyrics_130,chord/chord_btc_txt,dir,OK,1 files,
lyrics_131,sample01.mid,file,OK,1727,2025-09-22 10:59:17
lyrics_131,sample01.json,file,OK,34,2025-09-22 10:59:17
lyrics_131,sample01.txt,file,OK,322,2025-09-22 10:59:16
lyrics_131,sample01_times.txt,file,OK,563,2025-09-22 10:59:17
lyrics_131,sample01_struct_time.json,file,OK,39,2025-09-22 10:59:18
lyrics_131,sample01_struct_label.json,file,OK,47,2025-09-22 10:59:18
lyrics_131,sample01.wav,file,OK,5041014,2025-09-22 10:59:33
lyrics_131,chord/chord_txt,dir,OK,1 files,
lyrics_131,chord/chord_btc_txt,dir,OK,1 files,
lyrics_132,sample01.mid,file,OK,1661,2025-09-22 11:00:30
lyrics_132,sample01.json,file,OK,34,2025-09-22 11:00:30
lyrics_132,sample01.txt,file,OK,316,2025-09-22 11:00:29
lyrics_132,sample01_times.txt,file,OK,557,2025-09-22 11:00:31
lyrics_132,sample01_struct_time.json,file,OK,37,2025-09-22 11:00:31
lyrics_132,sample01_struct_label.json,file,OK,47,2025-09-22 11:00:31
lyrics_132,sample01.wav,file,OK,4795072,2025-09-22 11:00:46
lyrics_132,chord/chord_txt,dir,OK,1 files,
lyrics_132,chord/chord_btc_txt,dir,OK,1 files,
lyrics_133,sample01.mid,file,OK,1694,2025-09-22 11:01:48
lyrics_133,sample01.json,file,OK,34,2025-09-22 11:01:48
